Fullname,DateofbirthAge,Placeofbirth,Height,Citizenship,Position,Foot,Playeragent,Currentclub,Joined,Contractexpires,Lastcontractextension,Outfitter,SocialMedia,tm_url,Nameinhomecountry,2ndclub,Onloanfrom,Contractthereexpires,source_url,Contractoption,3ndclub
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/angel-ortiz/profil/spieler/933908,NA,NA
NA,19.03.1995 (30),Badalona,"1,78 m",Spain,Defender - Right-Back,right,Goal Management,Real Betis Balompié,18.07.2023,30.06.2028,NA,Mizuno,,https://www.transfermarkt.com/hector-bellerin/profil/spieler/191217,Héctor Bellerín Moruno,NA,NA,NA,NA,NA,NA
NA,05.03.1993 (32),Chesnay,"1,73 m",Senegal France,Defender - Right-Back,right,HCM Sports ...,Al-Duhail SC,01.07.2025,30.06.2027,NA,NA,NA,https://www.transfermarkt.com/youssouf-sabaly/profil/spieler/135492,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/pablo-busto/profil/spieler/1054909,NA,NA
NA,26.11.1996 (28),Vilafranca del Penedès,"1,84 m",Spain,Midfield - Defensive Midfield,left,AS1,Real Betis Balompié,01.07.2024,30.06.2029,NA,Nike,,https://www.transfermarkt.com/marc-roca/profil/spieler/336869,Marc Roca Junqué,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/william-carvalho/profil/spieler/100131,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/carlos-guirao/profil/spieler/1054429,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/johnny-cardoso/profil/spieler/689505,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/sergi-altimira/profil/spieler/466801,NA,NA
NA,22.02.1996 (29),Castelló de la Plana,"1,78 m",Spain,Midfield - Central Midfield,right,Toldra Consulting ...,Real Betis Balompié,01.02.2024,30.06.2029,NA,Nike,,https://www.transfermarkt.com/pablo-fornals/profil/spieler/357885,Pablo Fornals Malla,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/mateo-flores/profil/spieler/1061283,NA,NA
NA,09.04.1996 (29),Rosario,"1,77 m",Argentina Italy,Midfield - Attacking Midfield,left,DCGLOBALSL,Real Betis Balompié,30.08.2024,30.06.2028,NA,Puma,,https://www.transfermarkt.com/giovani-lo-celso/profil/spieler/348795,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nabil-fekir/profil/spieler/203496,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/isco/profil/spieler/85288,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/dani-perez/profil/spieler/895331,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/carlos-reina/profil/spieler/1061281,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/assane-diao/profil/spieler/1061282,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jesus-rodriguez/profil/spieler/1190411,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/abde-ezzalzouli/profil/spieler/724520,NA,NA
Juan Miguel Jiménez López,20.05.1993 (32),Coín,"1,72 m",Spain,Attack - Left Winger,right,Fútbol LLave,Getafe CF,01.07.2025,30.06.2027,NA,NA,,https://www.transfermarkt.com/juanmi/profil/spieler/126737,NA,NA,NA,NA,NA,NA,NA
Antony Matheus dos Santos,24.02.2000 (25),São Paulo,"1,72 m",Brazil,Attack - Right Winger,left,4ComM,Manchester United,30.08.2022,30.06.2027,NA,Puma,,https://www.transfermarkt.com/antony/profil/spieler/602105,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/pablo-garcia/profil/spieler/961087,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/rodri-sanchez/profil/spieler/630995,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/iker-losada/profil/spieler/632741,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/vitor-roque/profil/spieler/943837,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/cucho-hernandez/profil/spieler/459463,NA,NA
NA,06.02.1994 (31),Rosario,"1,72 m",Argentina Spain,Attack - Centre-Forward,right,Carlos Bilicich,Real Betis Balompié,01.02.2024,30.06.2027,NA,NA,,https://www.transfermarkt.com/chimy-avila/profil/spieler/167721,Luis Ezequiel Ávila,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/cedric-bakambu/profil/spieler/127048,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/marcos-fernandez/profil/spieler/961948,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/giorgi-mamardashvili/profil/spieler/502676,NA,NA
NA,25.12.1993 (31),Kumanovo,"1,88 m",North Macedonia Spain,Goalkeeper,right,AS1,Valencia CF,01.07.2024,30.06.2026,NA,NA,,https://www.transfermarkt.com/stole-dimitrievski/profil/spieler/165467,Столе Димитриевски,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jaume-domenech/profil/spieler/227805,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/vicent-abril/profil/spieler/741251,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/raul-jimenez/profil/spieler/982848,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/cristhian-mosquera/profil/spieler/646750,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/cesar-tarrega/profil/spieler/707274,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/yarek-gasiorowski/profil/spieler/895334,NA,NA
